frame;time;springs;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0;len1;len2;len3;len4;len5;len6;len7;len8;len9;len10;len11;len12;len13;len14;len15;len16;len17;len18
80;2.666666;19;19.000880;19.000000;1.000122;1.000046;1.000122;1.000111;1.000099;1.000085;1.000072;1.000060;1.000050;1.000042;1.000035;1.000030;1.000025;1.000022;1.000019;1.000018;1.000017;1.000017;1.000018;1.000018;1.000020
81;2.699999;19;19.001610;19.000000;1.000200;1.000085;1.000200;1.000188;1.000176;1.000160;1.000145;1.000127;1.000110;1.000092;1.000077;1.000063;1.000051;1.000041;1.000033;1.000028;1.000024;1.000022;1.000022;1.000023;1.000023
82;2.733332;19;19.005100;19.000000;1.000450;1.000268;1.000450;1.000439;1.000427;1.000411;1.000396;1.000374;1.000352;1.000324;1.000296;1.000264;1.000234;1.000203;1.000176;1.000152;1.000134;1.000122;1.000116;1.000115;1.000114
83;2.766665;19;19.085780;19.000000;1.004533;1.004515;1.004533;1.004526;1.004520;1.004517;1.004517;1.004516;1.004521;1.004521;1.004527;1.004526;1.004529;1.004526;1.004525;1.004517;1.004511;1.004500;1.004492;1.004481;1.004476
84;2.799999;19;19.219510;19.000000;1.011573;1.011553;1.011573;1.011565;1.011560;1.011556;1.011552;1.011550;1.011548;1.011547;1.011549;1.011549;1.011554;1.011555;1.011560;1.011559;1.011562;1.011554;1.011550;1.011536;1.011525
85;2.833332;19;19.367920;19.000000;1.019468;1.019364;1.019468;1.019458;1.019450;1.019441;1.019432;1.019422;1.019411;1.019400;1.019387;1.019375;1.019361;1.019346;1.019331;1.019315;1.019299;1.019282;1.019264;1.019247;1.019228
86;2.866665;19;19.521880;19.000000;1.027595;1.027467;1.027595;1.027585;1.027574;1.027563;1.027552;1.027540;1.027527;1.027514;1.027499;1.027483;1.027466;1.027448;1.027429;1.027408;1.027387;1.027364;1.027339;1.027315;1.027288
87;2.899999;19;19.671960;19.000000;1.035519;1.035366;1.035519;1.035508;1.035497;1.035484;1.035470;1.035456;1.035440;1.035424;1.035406;1.035386;1.035366;1.035344;1.035321;1.035296;1.035269;1.035241;1.035212;1.035179;1.035146
88;2.933332;19;19.809390;19.000000;1.042784;1.042600;1.042784;1.042772;1.042759;1.042745;1.042729;1.042711;1.042692;1.042671;1.042649;1.042625;1.042599;1.042572;1.042543;1.042512;1.042480;1.042445;1.042409;1.042370;1.042329
89;2.966665;19;19.926890;19.000000;1.048995;1.048784;1.048995;1.048983;1.048969;1.048953;1.048935;1.048915;1.048893;1.048869;1.048843;1.048814;1.048784;1.048751;1.048717;1.048681;1.048643;1.048602;1.048560;1.048515;1.048469
90;2.999999;19;20.018720;19.000000;1.053846;1.053617;1.053846;1.053835;1.053819;1.053803;1.053783;1.053761;1.053737;1.053711;1.053682;1.053651;1.053618;1.053582;1.053544;1.053504;1.053461;1.053417;1.053369;1.053321;1.053270
91;3.033332;19;20.080830;19.000000;1.057125;1.056886;1.057125;1.057112;1.057097;1.057080;1.057060;1.057038;1.057013;1.056985;1.056955;1.056922;1.056888;1.056850;1.056810;1.056769;1.056723;1.056677;1.056627;1.056576;1.056521
92;3.066665;19;20.111120;19.000000;1.058722;1.058480;1.058722;1.058709;1.058694;1.058677;1.058657;1.058634;1.058609;1.058581;1.058551;1.058518;1.058483;1.058445;1.058404;1.058362;1.058316;1.058268;1.058217;1.058164;1.058109
93;3.099998;19;20.109430;19.000000;1.058631;1.058391;1.058631;1.058619;1.058604;1.058586;1.058567;1.058544;1.058519;1.058492;1.058462;1.058429;1.058394;1.058356;1.058317;1.058273;1.058228;1.058181;1.058130;1.058077;1.058022
94;3.133332;19;20.077420;19.000000;1.056940;1.056706;1.056940;1.056929;1.056914;1.056897;1.056877;1.056855;1.056831;1.056804;1.056775;1.056743;1.056709;1.056672;1.056633;1.056591;1.056548;1.056501;1.056452;1.056401;1.056346
95;3.166665;19;20.018380;19.000000;1.053824;1.053599;1.053824;1.053812;1.053798;1.053781;1.053762;1.053741;1.053718;1.053692;1.053664;1.053634;1.053601;1.053566;1.053529;1.053489;1.053448;1.053403;1.053357;1.053308;1.053258
96;3.199998;19;19.936980;19.000000;1.049526;1.049315;1.049526;1.049515;1.049501;1.049485;1.049467;1.049447;1.049425;1.049401;1.049374;1.049346;1.049315;1.049283;1.049249;1.049212;1.049174;1.049133;1.049089;1.049045;1.048998
