frame;time;maxForce;avgForce;maxAccel
553;18.433400;0.53341;0.107617;186.917
554;18.466730;0.739707;0.11477;292.866
555;18.500060;0.889315;0.113669;366.886
556;18.533390;0.794036;0.11578;351.43
557;18.566730;0.591704;0.117445;258.171
558;18.600060;0.652754;0.114141;251.489
559;18.633390;0.666875;0.11501;320.177
560;18.666730;0.554494;0.116553;364.704
561;18.700060;0.462444;0.117789;382.023
562;18.733390;0.435572;0.116354;380.131
563;18.766720;0.407095;0.115721;361.566
564;18.800060;0.428762;0.118161;311.2
565;18.833390;0.484381;0.118963;266.972
566;18.866720;0.454053;0.1137;260.097
567;18.900050;0.343458;0.108041;255.916
568;18.933390;0.269289;0.0995746;201.369
569;18.966720;0.336544;0.0923567;149.712
570;19.000050;0.351916;0.0856565;158.112
571;19.033390;0.316048;0.0823222;142.221
572;19.066720;0.267;0.0783601;107.562
573;19.100050;0.302605;0.0745807;121.411
574;19.133380;0.300292;0.0682343;129.695
575;19.166720;0.272799;0.0703821;121.223
576;19.200050;0.415223;0.0777847;186.85
577;19.233380;0.642122;0.0890139;463.586
578;19.266720;0.844371;0.104832;686.555
579;19.300050;1.18719;0.12339;648.978
580;19.333380;1.08426;0.135149;651.127
581;19.366710;0.823224;0.146437;584.855
582;19.400050;0.902585;0.162851;403.077
583;19.433380;1.11729;0.173353;251.389
584;19.466710;1.14981;0.173251;258.707
585;19.500050;1.01592;0.171244;275.413
586;19.533380;1.00536;0.180643;243.445
587;19.566710;0.895881;0.176835;293.361
588;19.600040;0.798178;0.1828;718.359
589;19.633380;1.85357;0.187969;1668.21
590;19.666710;2.59105;0.19096;2331.94
591;19.700040;2.57068;0.200632;2313.6
592;19.733380;2.11674;0.224824;1790.6
593;19.766710;1.78501;0.241509;1585.64
594;19.800040;1.73721;0.233792;1306.99
595;19.833370;1.47231;0.211361;856.105
596;19.866710;0.941952;0.19593;366.042
597;19.900040;1.24843;0.171243;407.526
598;19.933370;1.33186;0.19899;421.662
599;19.966710;1.22471;0.216265;429.605
600;20.000040;1.04542;0.202059;413.656
601;20.033370;0.8546;0.193588;384.569
602;20.066700;2.25988;0.224266;1016.95
603;20.100040;4.22917;0.304617;3806.24
604;20.133370;5.38816;0.404539;2592.12
605;20.166700;5.14875;0.492622;4633.87
606;20.200040;4.83208;0.537821;4348.87
607;20.233370;3.4697;0.494129;3122.72
608;20.266700;2.76107;0.425762;1598.28
609;20.300030;2.16415;0.331701;942.389
610;20.333370;2.55433;0.2824;1149.44
611;20.366700;2.27164;0.301956;1022.24
612;20.400030;1.84163;0.294645;828.731
613;20.433360;1.65279;0.260093;702.431
614;20.466700;2.70808;0.282115;609.317
615;20.500030;3.5571;0.351263;800.346
616;20.533360;3.43093;0.470291;1000.25
617;20.566700;4.48566;0.620523;1967.79
618;20.600030;6.7932;0.796034;3056.93
619;20.633360;6.59542;0.870775;4154.21
620;20.666690;6.53822;0.830943;5884.38
621;20.700030;5.39786;0.724322;4858.06
622;20.733360;2.92743;0.568403;2634.68
623;20.766690;1.88075;0.389843;846.334
624;20.800030;1.32851;0.331578;768.684
625;20.833360;1.71591;0.348705;1105.48
626;20.866690;1.47003;0.332308;661.513
627;20.900020;1.22423;0.304156;538.139
628;20.933360;2.92279;0.351122;1315.25
629;20.966690;1.94508;0.325061;875.282
630;21.000020;4.9551;0.357226;2229.79
631;21.033360;3.46496;0.40537;1559.23
