frame;time;totalCurrent;totalRest;maxStretchRatio;avgStretchRatio;len0
369;3.075013;1.010487;1.000000;1.010487;1.010487;1.010487
370;3.083346;1.010599;1.000000;1.010599;1.010599;1.010599
371;3.091680;1.010655;1.000000;1.010655;1.010655;1.010655
372;3.100013;1.010652;1.000000;1.010652;1.010652;1.010652
373;3.108346;1.010592;1.000000;1.010592;1.010592;1.010592
374;3.116680;1.010482;1.000000;1.010482;1.010482;1.010482
375;3.125013;1.010330;1.000000;1.010330;1.010330;1.010330
376;3.133347;1.010148;1.000000;1.010148;1.010148;1.010148
377;3.141680;1.009949;1.000000;1.009949;1.009949;1.009949
378;3.150014;1.009748;1.000000;1.009748;1.009748;1.009748
379;3.158347;1.009558;1.000000;1.009558;1.009558;1.009558
380;3.166681;1.009391;1.000000;1.009391;1.009391;1.009391
381;3.175014;1.009258;1.000000;1.009258;1.009258;1.009258
382;3.183347;1.009167;1.000000;1.009167;1.009167;1.009167
383;3.191681;1.009122;1.000000;1.009122;1.009122;1.009122
384;3.200014;1.009125;1.000000;1.009125;1.009125;1.009125
385;3.208348;1.009174;1.000000;1.009174;1.009174;1.009174
386;3.216681;1.009265;1.000000;1.009265;1.009265;1.009265
387;3.225015;1.009388;1.000000;1.009388;1.009388;1.009388
388;3.233348;1.009537;1.000000;1.009537;1.009537;1.009537
389;3.241682;1.009698;1.000000;1.009698;1.009698;1.009698
390;3.250015;1.009862;1.000000;1.009862;1.009862;1.009862
391;3.258348;1.010016;1.000000;1.010016;1.010016;1.010016
392;3.266682;1.010152;1.000000;1.010152;1.010152;1.010152
393;3.275015;1.010260;1.000000;1.010260;1.010260;1.010260
394;3.283349;1.010334;1.000000;1.010334;1.010334;1.010334
395;3.291682;1.010370;1.000000;1.010370;1.010370;1.010370
396;3.300016;1.010367;1.000000;1.010367;1.010367;1.010367
397;3.308349;1.010327;1.000000;1.010327;1.010327;1.010327
398;3.316683;1.010253;1.000000;1.010253;1.010253;1.010253
399;3.325016;1.010152;1.000000;1.010152;1.010152;1.010152
400;3.333349;1.010031;1.000000;1.010031;1.010031;1.010031
401;3.341683;1.009900;1.000000;1.009900;1.009900;1.009900
402;3.350016;1.009767;1.000000;1.009767;1.009767;1.009767
403;3.358350;1.009641;1.000000;1.009641;1.009641;1.009641
404;3.366683;1.009531;1.000000;1.009531;1.009531;1.009531
405;3.375017;1.009444;1.000000;1.009444;1.009444;1.009444
406;3.383350;1.009384;1.000000;1.009384;1.009384;1.009384
407;3.391684;1.009355;1.000000;1.009355;1.009355;1.009355
408;3.400017;1.009357;1.000000;1.009357;1.009357;1.009357
409;3.408350;1.009390;1.000000;1.009390;1.009390;1.009390
410;3.416684;1.009450;1.000000;1.009450;1.009450;1.009450
411;3.425017;1.009533;1.000000;1.009533;1.009533;1.009533
412;3.433351;1.009631;1.000000;1.009631;1.009631;1.009631
413;3.441684;1.009738;1.000000;1.009738;1.009738;1.009738
414;3.450018;1.009846;1.000000;1.009846;1.009846;1.009846
415;3.458351;1.009948;1.000000;1.009948;1.009948;1.009948
416;3.466685;1.010038;1.000000;1.010038;1.010038;1.010038
417;3.475018;1.010109;1.000000;1.010109;1.010109;1.010109
418;3.483351;1.010157;1.000000;1.010157;1.010157;1.010157
419;3.491685;1.010181;1.000000;1.010181;1.010181;1.010181
420;3.500018;1.010178;1.000000;1.010178;1.010178;1.010178
421;3.508352;1.010151;1.000000;1.010151;1.010151;1.010151
422;3.516685;1.010102;1.000000;1.010102;1.010102;1.010102
423;3.525019;1.010035;1.000000;1.010035;1.010035;1.010035
424;3.533352;1.009955;1.000000;1.009955;1.009955;1.009955
425;3.541686;1.009868;1.000000;1.009868;1.009868;1.009868
426;3.550019;1.009780;1.000000;1.009780;1.009780;1.009780
427;3.558352;1.009697;1.000000;1.009697;1.009697;1.009697
428;3.566686;1.009624;1.000000;1.009624;1.009624;1.009624
429;3.575019;1.009566;1.000000;1.009566;1.009566;1.009566
