frame;time;dx;dy;dz;displacement;angleFromVertical
334;11.133370;0.000000;0.102251;0.000000;0.102251;0.000000
335;11.166700;0.000000;0.092460;0.000000;0.092460;0.000000
336;11.200040;0.000000;0.083132;0.000000;0.083132;0.000000
337;11.233370;0.000000;0.075287;0.000000;0.075287;0.000000
338;11.266700;0.000000;0.069774;0.000000;0.069774;0.000000
339;11.300040;0.000000;0.067181;0.000000;0.067181;0.000000
340;11.333370;0.000000;0.067769;0.000000;0.067769;0.000000
341;11.366700;0.000000;0.071450;0.000000;0.071450;0.000000
342;11.400040;0.000000;0.077797;0.000000;0.077797;0.000000
343;11.433370;0.000000;0.086096;0.000000;0.086096;0.000000
344;11.466710;0.000000;0.095424;0.000000;0.095424;0.000000
345;11.500040;0.000000;0.104748;0.000000;0.104748;0.000000
346;11.533370;0.000000;0.113046;0.000000;0.113046;0.000000
347;11.566710;0.000000;0.119415;0.000000;0.119415;0.000000
348;11.600040;0.000000;0.123172;0.000000;0.123172;0.000000
349;11.633380;0.000000;0.123923;0.000000;0.123923;0.000000
350;11.666710;0.000000;0.121606;0.000000;0.121606;0.000000
351;11.700040;0.000000;0.116500;0.000000;0.116500;0.000000
352;11.733380;0.000000;0.109185;0.000000;0.109185;0.000000
353;11.766710;0.000000;0.100479;0.000000;0.100479;0.000000
354;11.800040;0.000000;0.091350;0.000000;0.091350;0.000000
355;11.833380;0.000000;0.082801;0.000000;0.082801;0.000000
356;11.866710;0.000000;0.075762;0.000000;0.075762;0.000000
357;11.900050;0.000000;0.070996;0.000000;0.070996;0.000000
358;11.933380;0.000000;0.069011;0.000000;0.069011;0.000000
359;11.966710;0.000000;0.070005;0.000000;0.070005;0.000000
360;12.000050;0.000000;0.073848;0.000000;0.073848;0.000000
361;12.033380;0.000000;0.080095;0.000000;0.080095;0.000000
362;12.066710;0.000000;0.088044;0.000000;0.088044;0.000000
363;12.100050;0.000000;0.096810;0.000000;0.096810;0.000000
364;12.133380;0.000000;0.105426;0.000000;0.105426;0.000000
365;12.166720;0.000000;0.112949;0.000000;0.112949;0.000000
366;12.200050;0.000000;0.118564;0.000000;0.118564;0.000000
367;12.233380;0.000000;0.121664;0.000000;0.121664;0.000000
368;12.266720;0.000000;0.121931;0.000000;0.121931;0.000000
